Date,Name,Category,Owner,Amount
2026-01-02,Kim Lindholm - Rent,Housing,Shared,-1858.00
2026-01-02,ALON EDEN - Salary to shared account,Salary,Shared,+2000.00
2026-01-02,RUOHOLAHDEN APT HELSINKI,Dining Out,Shared,-24.00
2026-01-02,ALKO HELSINKI RUOHO HELSINKI,Groceries,Shared,-13.98
2026-01-02,TOKMANNI RUOHOLAHTI HELSINKI,Shopping,Shared,-3.49
2026-01-02,LIDLHELSINKIJATKASA HELSINKI,Groceries,Shared,-69.68
2026-01-02,JYSK RUOHOLAHTI F96 HELSINKI,Shopping,Shared,-18.00
2026-01-05,K-market Ruoholahti HELSINKI,Groceries,Shared,-5.06
2026-01-05,PAPERSHOP HELSINKI,Shopping,Shared,-5.50
2026-01-05,VFI*FIDA INTERNATIO HELSINKI,Misc,Shared,-5.00
2026-01-05,Kiitti sulle Oy Bon Helsinki,Misc,Shared,-25.90
2026-01-05,FEVER* CANDLELIGHT MADRID,Entertainment,Shared,-64.04
2026-01-05,GREEN HIPPO CAFE HELSINKI,Dining Out,Shared,-31.00
2026-01-05,Wolt Helsinki,Dining Out,Shared,-32.20
2026-01-05,K-market Ruoholahti HELSINKI,Groceries,Shared,-2.69
2026-01-07,VERKKOKAUPPA.COM MY HELSINKI,Shopping,Shared,-34.98
2026-01-07,ZARA ALEKSI - 3179 HELSINKI,Shopping,Shared,-69.90
2026-01-07,K-CITYMARKET HELSIN HELSINKI,Groceries,Shared,-79.98
2026-01-08,K-CITYMARKET HELSIN HELSINKI,Groceries,Shared,-32.35
2026-01-08,LIDLHELSINKIJATKASA HELSINKI,Groceries,Shared,-56.95
2026-01-08,NETFLIX.COM 408-724-9160,Subscriptions,Shared,-19.41
2026-01-09,K-market Ruoholahti HELSINKI,Groceries,Shared,-6.15
2026-01-11,EKRON SIVAN - My transfer,Other,Shared,+590.00
2026-01-12,ZETTLE_*BELLE BAGUE HELSINKI,Personal Care,Shared,-4.70
2026-01-12,Compass Group Finla HELSINKI,Dining Out,Shared,-19.00
